table with row headers in column B and column headers in rows 3 through 4;;;;;;;;;;;;;
Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2019 Population: April 1, 2010 to July 1, 2019;;;;;;;;;;;;;
Rank;Geographic Area;avril 1, 2010;;Population Estimate (as of July 1);;;;;;;;;
173;Escondido city, California;143911;143976;144440;146099;147570;148794;149708;150683;151204;151220;151793;151625
174;Pasadena city, Texas;149043;149307;149523;151156;152662;153532;154447;154530;154525;153858;152733;151227
175;Naperville city, Illinois;141853;142170;142402;143205;144017;144892;146193;146975;147192;147619;148090;148449
176;Bellevue city, Washington;122363;127885;128357;130196;132074;133688;136275;139757;141758;145273;147064;148164
177;Joliet city, Illinois;147433;147308;147524;147771;148084;147749;147592;147432;147802;147821;147730;147344
178;Murfreesboro city, Tennessee;108755;109119;109572;111901;114141;117042;120808;125958;131409;136217;141442;146900
179;Midland city, Texas;111147;111193;111276;113941;119794;124163;128352;133440;134935;136205;142173;146038
180;Rockford city, Illinois;152871;153285;153147;152129;151258;150608;149378;148465;147796;147008;146307;145609
181;Paterson city, New Jersey;146199;146181;146391;145593;146111;146049;145911;145928;145773;146015;145594;145233
182;Savannah city, Georgia;136286;136918;137412;140414;142327;142600;143883;145160;145818;145804;145817;144464
183;Bridgeport city, Connecticut;144229;144246;144864;146146;147096;147716;147870;147409;146287;145346;144772;144399
184;Torrance city, California;145438;145151;145154;145769;146257;146671;146845;146950;146416;145781;144706;143592
185;McAllen city, Texas;129877;131547;132093;134639;136277;137421;138719;139909;141888;142249;142530;143268
186;Syracuse city, New York;145170;145150;145215;144526;144414;145044;144331;143816;143176;142287;142745;142327
187;Surprise city, Arizona;117517;117473;117643;119617;122266;125035;127880;130336;132846;134781;137717;141664
188;Denton city, Texas;113383;116326;117010;120101;123573;125030;128217;131154;134261;135629;138315;141541
189;Roseville city, California;118788;119277;119916;122725;124432;126769;128397;130018;132708;135077;138953;141500
190;Thornton city, Colorado;118772;118787;119391;121911;124361;127022;129479;132176;134574;136777;139352;141464
191;Miramar city, Florida;122041;121958;122300;125059;128697;130120;134494;136476;138964;140215;140564;141191
192;Pasadena city, California;137122;137114;137111;137652;138097;139292;139529;141025;141601;141757;140906;141029
193;Mesquite city, Texas;139824;139701;139963;141520;143365;143604;144508;144988;144681;144218;142520;140937
194;Olathe city, Kansas;125872;125922;126269;128325;129963;131798;132839;134298;135928;137526;139758;140545
195;Dayton city, Ohio;141527;141989;142348;142000;141916;142035;141117;140819;140849;140372;140439;140407
196;Carrollton city, Texas;119097;119211;119564;122527;125484;126545;128349;133060;133704;136054;137013;139248
197;Waco city, Texas;124805;124797;125377;126443;127494;129011;129860;131801;133421;136939;137886;139236
198;Orange city, California;136416;136776;137103;138539;139372;139972;139424;140503;140581;140251;139449;138669
199;Fullerton city, California;135161;135233;135291;136386;138103;138637;138840;139982;140454;139744;139273;138632
200;Charleston city, South Carolina;120083;120364;120700;123012;125223;127246;129434;132413;134453;135626;136111;137566
201;West Valley City city, Utah;129480;129489;129653;131031;132463;133744;134431;135903;136741;136334;135982;135248
202;Visalia city, California;124442;124528;124869;125649;126420;127309;128482;129369;130662;132388;133428;134605
203;Hampton city, Virginia;137436;137464;137415;136628;137177;137332;137680;136264;135374;134725;134330;134510
204;Gainesville city, Florida;124354;124504;124681;125671;125993;126340;127571;129356;131580;132041;133665;133997
205;Warren city, Michigan;134056;134070;134081;134173;134590;135312;135666;135386;135245;135100;134376;133943
206;Coral Springs city, Florida;121096;122588;122887;125141;126682;127788;128847;130160;131753;133542;133712;133759
